Brand,Reference,Google Search Code,Category,Name,Product URL,Price(Euros)
O'NEILL,8P3648-9010 Black Out,8P3648-9010,Jackets Snow,PB THUNDER PEAK JACKET,NaN,
O'NEILL,9P0074-5075 Seaport Bl,9P0074-5075,Jackets Snow,PB IGNEOUS JACKET,https://www.oneill.com/eu/en/igneous-ski-jacket/9P0074-5075-128.html,
O'NEILL,9P0074-6058 Forest Nig,9P0074-6058,Jackets Snow,PB IGNEOUS JACKET,https://www.oneill.com/eu/en/igneous-ski-jacket/9P0074-6058-104.html,
O'NEILL,9P0078-6058 Forest Nig,9P0078-6058,Jackets Snow,PB APLITE JACKET,https://www.oneill.com/eu/en/aplite-ski-jacket/9P0078-6058-104.html,
O'NEILL,9P0078-9010 Black Out,9P0078-9010,Jackets Snow,PB APLITE JACKET,https://www.oneill.com/eu/en/aplite-ski-jacket/9P0078-9010-104.html,
O'NEILL,9P0080-5900 BLUE AOP,9P0080-5900,Jackets Snow,PB HALITE JACKET,https://www.oneill.com/eu/en/halite-ski-jacket/9P0080-5900-104.html,
O'NEILL,9P0080-6900 GREEN AOP,9P0080-6900,Jackets Snow,PB HALITE JACKET,https://www.oneill.com/eu/en/halite-ski-jacket/9P0080-6900-104.html,
O'NEILL,9P0080-6960 GREEN AOP,9P0080-6960,Jackets Snow,PB HALITE JACKET,https://www.oneill.com/eu/en/halite-ski-jacket/9P0080-6960-104.html,
O'NEILL,9P0080-9900 BLACK AOP,9P0080-9900,Jackets Snow,PB HALITE JACKET,https://www.oneill.com/eu/en/halite-ski-jacket/9P0080-9900-104.html,
O'NEILL,9P0082-5075 Seaport Bl,9P0082-5075,Jackets Snow,PB MAGNATITE JACKET,https://www.oneill.com/eu/en/magnatite-ski-jacket/9P0082-5075-152.html,
O'NEILL,8P3070-5056 Ink Blue,8P3070-5056,Snow pants,PB BIB PANTS,https://www.oneill.com/eu/en/bib-ski-snowboard-pants/8P3070-5056-140.html,
O'NEILL,8P3072-2521 Bright Ora,8P3072-2521,Snow pants,PB ANVIL PANTS,https://www.oneill.com/eu/en/anvil-ski-snowboard-pants/8P3072-2521-170.html,
O'NEILL,8P3072-5112 Surf Blue,8P3072-5112,Snow pants,PB ANVIL PANTS,https://www.oneill.com/eu/en/anvil-ski-snowboard-pants/8P3072-5112-128.html,
