product_price
41.99
41.99
41.99
41.99
76.99
76.99
16.09
32.19
32.19
32.19
32.19
32.19
27.99
32.19
32.19
32.19
32.19
48.99
39.99
17.99
34.99
27.99
41.99
27.99
12.59
34.99
41.99
41.99
16.09
16.09
20.99
12.59
20.99
20.99
32.19
25.19
9.99
20.99
10.79
20.99
34.99
39.99
49.99
34.99
27.99
20.99
49.99
90.99
83.99
27.99
83.99
69.99
99.99
69.99
69.99
69.99
69.99
90.99
89.99
89.99
89.99
119.99
83.99
83.99
62.99
89.99
62.99
62.99
18.19
20.99
18.19
16.09
18.19
89.99
16.09
99.99
16.09
48.99
20.99
18.19
39.99
48.99
34.99
69.99
69.99
34.99
39.99
20.99
41.99
34.99
27.99
34.99
27.99
27.99
27.99
20.99
27.99
29.99
29.99
27.99
27.99
48.99
48.99
13.99
27.99
27.99
34.99
13.99
13.99
18.19
18.19
12.59
13.99
18.19
20.99
